Id,Faction/Territory,eigen_score,degree_score
Lu Su,Wu,1,43.8
Zhuge Liang,Shu,0.977,66.8
Zhou Yu,Wu,0.965,63.3
Sun Quan,Wu,0.537,26.9
Zhuge Jin,Wu,0.21,10.4
Zhang Zhao,Wu,0.203,9.3
Cao Cao,Wei,0.186,32.9
Liu Bei,Shu,0.185,12.2
Huang Gai,Wu,0.151,11.9
Zhao Zilong,Shu,0.12,5.5
Jiang Gan,Wei,0.108,7
Guan Yu,Shu,0.102,7.4
Mi Zhu,Shu,0.058,3
Cai brothers,Wei,0.056,5.5
Han Dang,Wu,0.055,2.5
Yan Jun,Wu,0.053,2
Cheng Deshu,Wu,0.053,2
Lu Ji,Wu,0.053,2
Bu Zhi,Wu,0.053,2
Yu Fan,Wu,0.053,2
Xue Zong,Wu,0.053,2
Pang Tong,Neutral,0.053,5.5
Cheng Pu,Wu,0.045,1.7
Lu Meng,Wu,0.039,1.5
Gan Ning,Wu,0.034,3.7
Xun You,Wei,0.021,4.2
Kan Ze,Wu,0.02,5.5
Gu Yong,Wu,0.018,1.2
Lady Wu,Wu,0.018,1.2
Cai Mao,Wei,0.01,2
Xu Shu,Wei,0.01,3
Cheng Yu,Wei,0.008,1.5
Liu Fu,Wei,0.005,1
Cao Ren,Wei,0.005,1
Wu Scholars,Wu,0.005,1.2
Zhang Liao,Wei,0.004,1
Xu Sheng,Wu,0.003,1
